periodo_denuncia,anio_denuncia,Fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA,326,Participación en grupo armado dirigido por extranjero,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA,328,Formas agravadas ,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA,329,Inteligencia desleal con Estado extranjero,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,CONTRA EL HONOR (Sin especificar delito subgenérico),S/Art,CONTRA EL HONOR,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",131,Calumnia,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",132,Difamación,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",S/Art,"INJURIA, CALUMNIA Y DIFAMACIÓN",1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,ABUSO DEL PODER ECONOMICO,S/Art,ABUSO DE PODER ECONOMICO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,VENTA ILICITA DE MERCADERIAS,S/Art,VENTA ILÍCITA DE MERCADERÍAS,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,247,Financiamiento por medio de información fraudulenta,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
