periodo_denuncia,anio_denuncia,Fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,CONTRA EL HONOR (Sin especificar delito subgenérico),S/Art,CONTRA EL HONOR,4,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",130,Injuria,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",131,Calumnia,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",132,Difamación,14,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",S/Art,"INJURIA, CALUMNIA Y DIFAMACIÓN",1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,"ACAPARAMIENTO, ESPECULACION, ADULTERACION",234,Especulación,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,CONTRA EL ORDEN FINANCIERO Y MONETARIO (Sin especificar delito subgenérico),S/Art,CONTRA EL ORDEN FINANCIERO Y MONETARIO,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,254,Tráfico de moneda falsa,11,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,S/Art,DELITOS MONETARIOS,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-A,Hurto de ganado,55,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-B,Hurto de uso de ganado,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-C,Robo de ganado ,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,S/Art,ABIGEATO,15,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,190,Apropiación ilícita común,44,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,191,Sustracción de bien propio,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
